Gene,log2FoldChange,pvalue,padj
Mcidas,11.80816505,0,0
Foxj1,7.998059062,0,0
Deup1,7.541600337,4.32E-115,3.20E-113
Cdc20b,7.240210272,1.74E-218,3.94E-216
Trp73,7.149835996,1.88E-109,1.30E-107
Shisa8,7.083049209,1.28E-144,1.41E-142
Hap1,7.049869252,6.60E-281,2.70E-278
Myb,6.522584801,1.99E-144,2.19E-142
Ccno,6.038119377,1.31E-202,2.55E-200
Drc7,5.768248533,4.55E-59,1.40E-57
Oasl1,5.672034923,2.87E-99,1.70E-97
Cacng4,5.439201395,7.84E-68,2.96E-66
F830016B08Rik,5.356793061,1.09E-89,5.68E-88
Cfap52,5.26217955,5.57E-46,1.27E-44
Cfap44,5.15668465,5.03E-65,1.77E-63
Gm4951,5.116136667,7.02E-90,3.68E-88
2410004P03Rik,5.028492072,1.96E-66,7.15E-65
Rsad2,4.987210641,8.86E-59,2.69E-57
Iigp1,4.871729983,2.14E-119,1.73E-117
Gm4841,4.801489938,1.00E-37,1.81E-36
Zbp1,4.769140529,4.70E-208,9.44E-206
Oas2,4.659849922,2.36E-191,4.13E-189
Iqub,4.618452717,1.13E-40,2.23E-39
Chrna3,4.602819304,1.96E-31,2.90E-30
Cxcl9,4.536823242,5.11E-37,9.01E-36
Vipr1,4.510698854,5.09E-44,1.11E-42
Stox1,4.466178735,1.12E-41,2.29E-40
Oas1a,4.437147176,2.14E-130,2.02E-128
Ak9,4.379248085,7.93E-33,1.23E-31
Spef2,4.360198563,1.84E-40,3.63E-39
Cfap206,4.342815141,4.50E-31,6.57E-30
Oasl2,4.340862898,1.71E-65,6.05E-64
Lrrc9,4.336874886,7.36E-31,1.07E-29
Maats1,4.308496566,6.09E-28,8.00E-27
Mx1,4.215652563,1.23E-48,3.02E-47
Zmynd10,4.18342068,1.63E-40,3.21E-39
Lrriq1,4.159093787,6.81E-38,1.24E-36
Bex1,4.127107622,4.84E-34,7.87E-33
Dynlrb2,4.12629267,3.37E-25,4.03E-24
Rab15,4.126053722,0,0
Irf7,4.120505243,1.44E-154,1.78E-152
Dnali1,4.059255021,3.83E-39,7.26E-38
Ildr2,3.986532213,0,0
Dnajb13,3.926878111,4.32E-24,4.91E-23
Ccdc146,3.924641429,4.31E-25,5.12E-24
1700016K19Rik,3.882885299,6.08E-26,7.43E-25
Usp18,3.880781997,1.32E-69,5.15E-68
Trim30a,3.838611644,1.01E-189,1.74E-187
Mlf1,3.81918618,6.49E-56,1.85E-54
H2-Q9,3.762391699,2.21E-19,2.04E-18
Spag6l,3.754196479,2.96E-19,2.71E-18
Cxcl10,3.753917925,1.90E-23,2.10E-22
Oas1g,3.746180678,3.71E-33,5.84E-32
Gbp9,3.733546141,1.86E-42,3.89E-41
Kif27,3.730264843,1.30E-57,3.83E-56
Tekt1,3.729300916,1.31E-20,1.27E-19
H2-Q4,3.711273666,4.51E-147,5.17E-145
Drc1,3.705572991,2.80E-90,1.48E-88
Apod,3.67016333,6.38E-108,4.34E-106
Gbp6,3.667624468,1.16E-79,5.22E-78
Rgs20,3.662992292,4.26E-41,8.52E-40
C1ql1,3.657926393,3.66E-38,6.72E-37
D430041D05Rik,3.654200228,1.63E-19,1.52E-18
Foxn4,3.64355667,4.37E-18,3.79E-17
Lrrc23,3.641674805,6.22E-24,7.05E-23
Tgtp2,3.635393464,4.10E-33,6.44E-32
Usp43,3.626934623,1.73E-23,1.92E-22
Gm12250,3.621776019,1.84E-31,2.73E-30
Gldc,3.616985352,1.93E-41,3.90E-40
Gbp3,3.593807491,3.29E-49,8.22E-48
Tac1,3.592355797,6.87E-28,9.00E-27
Slfn10-ps,3.588282383,2.59E-75,1.09E-73
Isg15,3.580483322,1.04E-48,2.57E-47
Ddx60,3.576716054,3.89E-95,2.17E-93
Nlrc5,3.559195992,2.99E-162,4.11E-160
Ryr2,3.558560214,2.99E-33,4.73E-32
Ccdc96,3.510647429,1.10E-38,2.05E-37
Apol9b,3.500700177,4.33E-66,1.57E-64
Tgtp1,3.483855923,1.12E-27,1.46E-26
Efhb,3.483117092,1.32E-20,1.28E-19
Nme5,3.461324869,6.49E-60,2.04E-58
Ankrd35,3.454882439,1.61E-44,3.55E-43
Cfap126,3.424969728,3.05E-44,6.69E-43
Sp100,3.414618766,2.74E-141,2.91E-139
Crtac1,3.411363751,3.27E-17,2.71E-16
Epcam,3.381689074,2.34E-16,1.86E-15
Slfn8,3.377200747,5.95E-138,5.94E-136
Olfr1372-ps1,3.369682885,3.49E-19,3.19E-18
Clic6,3.362546985,1.21E-15,9.26E-15
Ptprt,3.362168213,5.04E-35,8.39E-34
Dhx58,3.361213991,1.12E-221,2.69E-219
1700013F07Rik,3.354885607,4.01E-16,3.14E-15
E2f7,3.348954922,0,0
Tcp11,3.338797092,6.40E-18,5.47E-17
Psmb9,3.329870214,2.26E-84,1.10E-82
Tbx21,3.318389457,9.61E-15,6.97E-14
Nefm,3.306353304,2.86E-37,5.09E-36
Ifit1,3.297259234,1.30E-38,2.43E-37
Hrk,3.264640199,1.10E-14,7.94E-14
Pifo,3.258134832,3.74E-14,2.62E-13
Iqcg,3.25608331,1.46E-60,4.66E-59
Vwa3a,3.252272105,5.94E-16,4.61E-15
Mst1,3.243512621,5.10E-21,5.04E-20
Cmpk2,3.239236818,1.55E-25,1.87E-24
Ifit3,3.23683096,4.29E-33,6.73E-32
Phf11d,3.224543264,2.00E-146,2.24E-144
Stk32a,3.216223708,1.17E-41,2.39E-40
Ttc21a,3.214959766,2.69E-33,4.25E-32
Nek11,3.204178913,6.25E-15,4.58E-14
Spag16,3.202248201,1.37E-16,1.10E-15
Epha5,3.168968624,1.46E-58,4.41E-57
Chst5,3.154569866,3.80E-35,6.35E-34
Dnah6,3.149035842,3.03E-31,4.46E-30
Trim30d,3.147643338,5.57E-23,6.04E-22
Ifi203,3.146448579,8.66E-61,2.78E-59
Hydin,3.144074314,3.76E-13,2.50E-12
Drc3,3.13146863,3.56E-41,7.13E-40
Sost,3.131093002,4.73E-13,3.13E-12
Slc38a3,3.11694002,5.27E-17,4.34E-16
Ccdc113,3.108883029,1.72E-14,1.23E-13
Ifi47,3.108205713,1.25E-76,5.42E-75
Mgat5b,3.10710985,5.70E-15,4.19E-14
H2-Q5,3.099737301,9.93E-13,6.43E-12
Fam183b,3.098975796,9.09E-13,5.89E-12
Rsph4a,3.076826701,6.95E-24,7.83E-23
Rnf213,3.066769442,6.49E-100,3.89E-98
Cep152,3.05805017,1.88E-159,2.46E-157
Cspg5,3.057868947,3.12E-35,5.22E-34
Gbp5,3.053879712,2.45E-14,1.74E-13
Ifi44,3.053396656,1.18E-52,3.16E-51
Gm12185,3.051336725,6.14E-17,5.04E-16
Ccdc180,3.030623691,1.35E-13,9.20E-13
Cfap65,3.02578292,3.66E-12,2.28E-11
H2-K1,3.025357491,0,0
Ccl20,3.022768294,7.26E-26,8.86E-25
Alox12b,3.022648235,3.83E-12,2.38E-11
Strip2,3.011857803,3.55E-26,4.39E-25
Psmb8,3.008158416,1.53E-185,2.52E-183
Nefl,3.006266888,7.72E-13,5.02E-12
Mcpt8,3.004809994,2.94E-22,3.09E-21
Fam81a,2.99888538,1.28E-66,4.71E-65
Gbp4,2.994149285,5.67E-12,3.49E-11
Plvap,2.994135913,8.90E-79,3.98E-77
Igtp,2.989296048,2.37E-177,3.71E-175
Bst2,2.983468909,2.49E-80,1.13E-78
Dnah11,2.976213077,4.09E-25,4.86E-24
Clic5,2.973544808,2.50E-53,6.77E-52
Arg1,2.972278497,2.56E-12,1.61E-11
Hhip,2.950353496,7.43E-56,2.11E-54
Parp14,2.938580532,1.05E-225,2.63E-223
Gbp7,2.93299129,1.34E-212,2.86E-210
Mdk,2.932850537,7.95E-123,6.78E-121
Oas3,2.924498946,9.69E-37,1.70E-35
Mx2,2.920561715,5.96E-28,7.84E-27
Ttll9,2.915339694,1.73E-18,1.53E-17
AW011738,2.914109438,2.77E-53,7.51E-52
Sez6,2.912518354,1.54E-11,9.18E-11
Krt18,2.907888965,4.53E-15,3.35E-14
Tnfsf18,2.899154471,1.76E-22,1.86E-21
Clca3a1,2.893009124,1.01E-207,2.01E-205
Mmp13,2.885299354,0,0
Irgm2,2.877893103,2.44E-244,7.47E-242
Gal,2.873002678,1.64E-11,9.74E-11
Zfp711,2.86904546,2.27E-12,1.43E-11
Cd40,2.865232807,5.46E-29,7.42E-28
Oas1b,2.859811858,4.37E-53,1.18E-51
Eno4,2.84934814,3.72E-19,3.40E-18
Plk5,2.847911917,1.28E-11,7.65E-11
Ifi205,2.847590074,2.77E-35,4.65E-34
Gm41616,2.833464916,6.37E-24,7.19E-23
C1ql4,2.82434626,1.27E-10,7.05E-10
1700086L19Rik,2.818823337,2.17E-11,1.28E-10
Jag2,2.814944375,4.84E-34,7.87E-33
Ak7,2.812340388,3.01E-12,1.89E-11
Flt4,2.80910154,8.73E-143,9.50E-141
Bmp7,2.801180314,1.05E-10,5.89E-10
Mmp10,2.78146154,3.42E-13,2.28E-12
Ccdc151,2.777752907,1.95E-27,2.51E-26
Cadps2,2.775025907,8.97E-11,5.06E-10
Lrrc34,2.771194011,1.74E-12,1.11E-11
Spata18,2.76797921,3.30E-10,1.78E-09
Robo3,2.767406023,1.38E-11,8.22E-11
Cds1,2.763345746,1.62E-66,5.94E-65
H2-K2,2.757534241,5.14E-33,8.02E-32
E2f8,2.751134806,2.77E-211,5.80E-209
Ttc25,2.745031755,1.02E-22,1.10E-21
Ttll6,2.739134309,1.84E-10,1.01E-09
Enkur,2.734934911,1.33E-16,1.07E-15
St6galnac3,2.732641689,5.68E-18,4.87E-17
Ms4a4d,2.730136576,8.95E-27,1.13E-25
H2-Q10,2.722529319,1.73E-31,2.56E-30
Slc30a3,2.721233817,6.86E-10,3.61E-09
Pax5,2.719684702,2.97E-10,1.61E-09
Gbp10,2.719290974,1.19E-13,8.15E-13
Gm11992,2.706013116,1.67E-12,1.06E-11
Diras2,2.69554926,1.32E-56,3.83E-55
Gpr50,2.692207383,3.92E-10,2.10E-09
Ankk1,2.691684011,8.11E-12,4.94E-11
Serpinb2,2.689250274,1.54E-11,9.18E-11
Ifih1,2.6819224,5.55E-179,8.76E-177
Atg9b,2.678300108,2.26E-16,1.79E-15
Phf11b,2.675365873,1.74E-15,1.32E-14
Kcnq3,2.665394485,1.20E-17,1.01E-16
Mndal,2.659163113,8.36E-16,6.43E-15
Wdr63,2.656225164,9.52E-12,5.76E-11
Mns1,2.642881524,7.23E-63,2.43E-61
Gvin-ps6,2.641627058,5.73E-12,3.53E-11
Pidd1,2.63516668,0,0
Cdt1,2.628698213,1.95E-218,4.36E-216
Qrfpr,2.625458794,2.91E-09,1.46E-08
Spata17,2.621223757,1.37E-13,9.29E-13
Aard,2.620014305,2.96E-21,2.96E-20
Gabrb3,2.614032381,6.00E-53,1.61E-51
Apol9a,2.61374709,2.36E-19,2.18E-18
Slfn9,2.608432678,0,0
Tekt4,2.607645919,3.85E-09,1.92E-08
Fgfbp1,2.599506433,1.10E-09,5.72E-09
Ptch2,2.59876929,1.94E-11,1.14E-10
Adamts8,2.579170539,5.54E-19,5.02E-18
Cfap54,2.577058564,3.01E-18,2.63E-17
Fhad1,2.57519911,7.04E-10,3.70E-09
Plek2,2.574483358,2.18E-12,1.38E-11
Pla2g4c,2.568497073,1.09E-10,6.13E-10
Tnfrsf19,2.568172282,1.17E-27,1.52E-26
H2-Q7,2.562051443,7.72E-09,3.74E-08
Prlr,2.561556213,1.25E-37,2.24E-36
Cfap70,2.557646773,8.66E-12,5.26E-11
Pcsk9,2.557519563,2.12E-72,8.57E-71
Alox12,2.557469459,7.66E-12,4.67E-11
Ifi204,2.554471499,1.02E-182,1.63E-180
Dnaic1,2.55324628,2.63E-09,1.33E-08
Tube1,2.552443026,6.35E-79,2.84E-77
Mixl1,2.551497011,4.53E-09,2.24E-08
Inhbb,2.545867575,8.81E-250,2.83E-247
Rfx2,2.541606294,2.67E-51,7.00E-50
Ppp2r2c,2.539536016,1.81E-25,2.18E-24
H2-Q1,2.53769388,7.82E-13,5.08E-12
Plac8,2.53566654,1.20E-71,4.82E-70
Aqp3,2.534441815,3.57E-09,1.78E-08
Helz2,2.531010402,0,0
Pcdhgc4,2.519206347,5.67E-55,1.59E-53
Ccdc114,2.517747383,3.43E-23,3.76E-22
Akr1c18,2.517039733,1.17E-08,5.59E-08
Pak6,2.512953661,2.40E-14,1.70E-13
Fcho1,2.507134933,3.37E-23,3.70E-22
Erich2,2.49427722,1.79E-09,9.10E-09
Dnaaf1,2.493620959,1.48E-08,6.98E-08
Dkk1,2.488706081,1.54E-09,7.88E-09
Plekhh1,2.482281725,4.88E-21,4.83E-20
Slfn5,2.479587073,9.16E-84,4.39E-82
Ifi202b,2.478646098,0,0
P2rx3,2.47539485,1.11E-40,2.20E-39
Ccl5,2.474979561,5.25E-13,3.46E-12
Spag8,2.47199046,6.31E-09,3.08E-08
Rtp4,2.470542474,2.46E-229,6.49E-227
Ifit3b,2.466308453,1.15E-21,1.18E-20
Ube2l6,2.464244916,1.59E-142,1.71E-140
Kcnh3,2.458926805,5.09E-09,2.50E-08
Herc6,2.454219526,7.11E-105,4.66E-103
Kcnb2,2.452571687,4.50E-12,2.79E-11
Ankrd45,2.44854577,5.01E-12,3.10E-11
Il6,2.447705043,5.77E-12,3.55E-11
Dyrk3,2.447204434,1.18E-36,2.05E-35
Cpne7,2.444655116,3.10E-08,1.43E-07
Dcc,2.441702793,3.35E-12,2.10E-11
Tmem132e,2.437006382,7.60E-19,6.84E-18
Tex11,2.434400008,5.83E-14,4.06E-13
Cited1,2.433698333,1.52E-09,7.81E-09
Gm13709,2.43190086,1.79E-10,9.83E-10
Gdf15,2.429947042,5.16E-81,2.38E-79
Gvin2,2.426241652,6.31E-11,3.61E-10
Sele,2.425561669,1.73E-09,8.80E-09
Xaf1,2.424681305,1.48E-74,6.13E-73
Slco4a1,2.422334074,5.23E-34,8.49E-33
Gbp11,2.422029722,1.26E-11,7.52E-11
Nkx2-3,2.421729781,5.14E-08,2.32E-07
Clec2l,2.415897921,1.78E-12,1.13E-11
Vwa3b,2.413583014,3.24E-10,1.75E-09
Hoxb13,2.407743618,3.22E-09,1.61E-08
Dock3,2.405948781,7.62E-13,4.97E-12
Elavl4,2.403983061,6.54E-08,2.92E-07
Hdc,2.403263228,1.40E-08,6.63E-08
Tsnaxip1,2.399985325,5.09E-09,2.50E-08
Ppp1r36,2.397266623,4.46E-15,3.30E-14
Nek5,2.384633267,9.88E-09,4.75E-08
Zfp804a,2.382244349,1.61E-08,7.57E-08
Elmod1,2.381930776,1.85E-08,8.68E-08
Irf6,2.380929722,2.43E-09,1.23E-08
Gm41848,2.379378933,7.47E-08,3.32E-07
Irgm1,2.377703522,0,0
Coro2a,2.374758835,6.08E-36,1.04E-34
Derl3,2.373423289,2.08E-12,1.32E-11
Ccdc88c,2.371501032,1.93E-11,1.14E-10
H2-Q2,2.368854473,5.34E-46,1.22E-44
Gm867,2.368605776,1.67E-10,9.21E-10
Stil,2.363900562,4.63E-131,4.43E-129
Zdbf2,2.358128422,2.66E-49,6.65E-48
Cfap69,2.34965193,1.94E-33,3.08E-32
Cntfr,2.348530803,7.12E-31,1.03E-29
Tap1,2.346403968,0,0
Nkx3-1,2.341824184,1.02E-07,4.47E-07
Rnf157,2.33381714,1.10E-220,2.58E-218
Gm8909,2.330215415,1.45E-39,2.79E-38
Fam184a,2.324710738,2.54E-22,2.68E-21
Col13a1,2.323645203,4.40E-08,2.00E-07
Tfpi2,2.322465835,1.23E-16,9.96E-16
Rsph1,2.320882824,6.13E-33,9.56E-32
Cfap45,2.318841245,1.50E-32,2.32E-31
Calca,2.316963407,1.45E-08,6.85E-08
Mmp9,2.316815708,4.04E-33,6.35E-32
Slc27a2,2.316763463,1.97E-07,8.40E-07
Nppc,2.312653139,1.24E-07,5.41E-07
Grhl3,2.311805064,4.04E-11,2.33E-10
Mapk15,2.31070766,2.40E-12,1.51E-11
Lonrf3,2.304101103,1.16E-49,2.92E-48
Armc3,2.296762911,6.98E-08,3.11E-07
Cldn3,2.295557786,2.56E-07,1.08E-06
Dtl,2.294966943,2.70E-229,7.03E-227
Mak,2.290943098,3.01E-08,1.39E-07
Lncenc1,2.290055936,2.33E-12,1.47E-11
Stk33,2.287204097,1.49E-08,7.04E-08
Coro6,2.286720119,1.25E-62,4.14E-61
Hyls1,2.283644657,7.20E-89,3.72E-87
Ifi211,2.280569363,7.89E-54,2.16E-52
Wdr90,2.280565096,3.10E-189,5.29E-187
Ces2e,2.279031324,1.80E-12,1.15E-11
Tlx1,2.277577507,3.18E-07,1.32E-06
Slc13a5,2.27457514,1.76E-07,7.56E-07
Gm10499,2.26603272,9.58E-23,1.03E-21
Erfe,2.260810105,1.48E-113,1.08E-111
Pdlim3,2.258991403,1.12E-08,5.38E-08
Sp9,2.256883607,4.73E-09,2.33E-08
4930512H18Rik,2.253628748,1.28E-07,5.58E-07
Paqr4,2.251752043,1.60E-129,1.49E-127
Pou3f2,2.248573086,4.50E-07,1.85E-06
Wscd1,2.244817226,7.46E-09,3.63E-08
Bhlha15,2.230829755,2.76E-07,1.16E-06
Stat2,2.230745828,1.40E-279,5.49E-277
C230072F16Rik,2.23015066,3.17E-07,1.32E-06
Serpinb10,2.229385792,1.45E-11,8.65E-11
Olr1,2.227704482,5.87E-17,4.82E-16
Wnt7b,2.22752498,5.31E-07,2.16E-06
Meig1,2.226805309,2.52E-07,1.06E-06
Aox3,2.222267047,3.17E-07,1.32E-06
Tnfsf10,2.212554206,4.30E-07,1.77E-06
Ifi207,2.21081684,1.19E-72,4.83E-71
Dll4,2.209049405,5.39E-07,2.20E-06
Kif24,2.207363487,3.01E-69,1.17E-67
Myo5c,2.205642372,1.12E-62,3.74E-61
Syce2,2.202829548,7.81E-52,2.06E-50
Csn3,2.198752105,7.44E-07,3.00E-06
Pkn3,2.193666844,2.59E-43,5.57E-42
Satb1,2.192349724,1.21E-64,4.18E-63
Dnah9,2.187818513,7.72E-08,3.42E-07
Prrg4,2.186311201,4.05E-131,3.90E-129
Ttc34,2.181998665,1.31E-07,5.70E-07
H2-T23,2.181482943,7.84E-51,2.04E-49
Tchh,2.180543055,3.28E-10,1.77E-09
Rif1,2.175523444,7.93E-230,2.12E-227
Cracd,2.173201282,1.07E-163,1.49E-161
Uba7,2.172839996,7.26E-106,4.82E-104
Arg2,2.16678706,1.12E-08,5.35E-08
Ecel1,2.164783432,6.05E-08,2.71E-07
Lgals3bp,2.16292496,2.54E-104,1.64E-102
Mapk10,2.15629006,4.94E-07,2.02E-06
Saa3,2.15571425,5.20E-07,2.12E-06
Plet1,2.153055443,1.36E-06,5.33E-06
Morn3,2.151865893,1.98E-07,8.46E-07
Zfp385b,2.151117191,2.48E-10,1.35E-09
Kcng1,2.150586119,1.35E-06,5.30E-06
Gli1,2.141997438,1.18E-11,7.08E-11
Katnal2,2.141718401,8.45E-38,1.53E-36
Ston2,2.140891451,1.63E-32,2.51E-31
Fgd5,2.138829934,2.24E-08,1.04E-07
Chchd10,2.137823884,1.34E-46,3.14E-45
Hmgcll1,2.134041619,1.42E-24,1.66E-23
Ubxn10,2.133382125,1.69E-06,6.57E-06
Nefh,2.12461494,7.71E-07,3.10E-06
Gbp2,2.122935658,8.19E-93,4.47E-91
Cyp26a1,2.121702674,1.44E-06,5.64E-06
6820408C15Rik,2.112317523,4.00E-08,1.82E-07
4932438H23Rik,2.108838421,8.12E-09,3.93E-08
Lrrn1,2.107850731,3.15E-22,3.30E-21
Nkx2-9,2.104660338,1.02E-06,4.06E-06
Fank1,2.104180684,4.50E-08,2.04E-07
Slc39a4,2.101050216,1.79E-06,6.93E-06
Dynap,2.099883397,1.04E-06,4.13E-06
Kif9,2.097982549,4.55E-57,1.33E-55
Kndc1,2.096863597,4.73E-07,1.94E-06
Acer2,2.096249672,1.82E-15,1.38E-14
Casp7,2.096123174,4.47E-110,3.14E-108
Irs4,2.095454044,1.96E-06,7.54E-06
Plekha7,2.093007671,4.43E-127,3.93E-125
Mdh1b,2.090810406,2.70E-06,1.03E-05
Ccdc40,2.08672311,1.09E-18,9.72E-18
Ces2g,2.084115147,1.47E-08,6.98E-08
Ttc39a,2.083512769,5.44E-24,6.17E-23
Ccdc13,2.079728482,2.59E-08,1.19E-07
Areg,2.079198599,2.91E-07,1.22E-06
Cfap58,2.077592269,2.24E-06,8.61E-06
Spaca9,2.077443757,2.63E-09,1.32E-08
Bves,2.075090836,5.78E-24,6.55E-23
Fsip1,2.074333568,2.33E-09,1.18E-08
Ret,2.07393939,1.77E-19,1.64E-18
Plk4,2.073831723,2.58E-196,4.60E-194
Slco1a5,2.071847838,4.09E-08,1.86E-07
Ina,2.066117587,7.32E-10,3.84E-09
Igsf11,2.065982652,4.44E-08,2.01E-07
Ppp1r1b,2.065240846,3.13E-06,1.18E-05
Sox18,2.059587117,2.78E-06,1.06E-05
1110002E22Rik,2.057385283,3.86E-06,1.44E-05
Tmem255a,2.056562333,1.84E-06,7.13E-06
Pkd2l1,2.056243651,3.91E-06,1.46E-05
Eomes,2.055430854,3.43E-07,1.42E-06
Dnah2,2.055422852,1.48E-09,7.60E-09
Mreg,2.053663992,1.60E-13,1.08E-12
Kcnk5,2.051046091,1.91E-14,1.37E-13
Dio2,2.047843243,1.95E-20,1.88E-19
Art3,2.046746304,1.71E-06,6.64E-06
Trhde,2.045817765,4.99E-09,2.45E-08
Lig1,2.043890057,3.13E-294,1.34E-291
Gm33387,2.037768167,4.02E-06,1.50E-05
Alox5,2.034415107,5.91E-11,3.38E-10
Ifi44l,2.027497898,4.84E-09,2.39E-08
Ddo,2.024191659,1.06E-06,4.21E-06
Melk,2.02373742,1.55E-142,1.68E-140
Efcab12,2.021282976,5.98E-09,2.93E-08
Dnah12,2.019477141,5.71E-06,2.09E-05
Lrrc6,2.019334492,5.72E-06,2.10E-05
Tbx20,2.019195949,8.24E-08,3.65E-07
Cma1,2.019110749,2.49E-06,9.49E-06
Kif19a,2.014951176,5.65E-06,2.07E-05
Tspan7,2.014331902,5.43E-119,4.34E-117
Wdr78,2.013832941,5.32E-57,1.55E-55
Nell1,2.006135418,3.34E-06,1.26E-05
Bcl6b,2.003544388,4.90E-06,1.81E-05
Ccp110,2.002191782,9.52E-163,1.32E-160
Prokr2,2.000914478,3.83E-06,1.43E-05
Efcab11,2.000909078,7.78E-23,8.37E-22
Grp,2.000131439,6.89E-06,2.51E-05
Rttn,1.99914481,8.91E-75,3.70E-73
Gm20684,1.996417607,6.74E-10,3.55E-09
Ifit1bl1,1.996084791,4.71E-12,2.92E-11
Ccdc103,1.992617536,4.12E-11,2.38E-10
Wdr76,1.988735781,1.14E-59,3.54E-58
Adrb3,1.984766849,5.39E-13,3.55E-12
Fgf1,1.982751621,1.96E-07,8.37E-07
Heph,1.978931121,9.25E-48,2.23E-46
Grm8,1.978764259,8.65E-06,3.10E-05
Ccdc148,1.975889809,9.88E-08,4.34E-07
Tmem132c,1.973788038,6.33E-09,3.09E-08
Cnih2,1.973558283,3.62E-57,1.06E-55
Flywch2,1.972792995,4.04E-32,6.12E-31
Pacsin1,1.972674285,7.73E-06,2.79E-05
H2-Bl,1.971126584,3.89E-14,2.73E-13
H2-D1,1.968151906,0,0
Lrrc18,1.966865798,1.02E-05,3.63E-05
Cfap61,1.96635422,2.86E-06,1.08E-05
Scin,1.95970712,8.08E-06,2.91E-05
4933403O08Rik,1.956071201,7.75E-06,2.80E-05
Gm46878,1.955380669,2.76E-07,1.16E-06
Parp10,1.954272841,4.06E-117,3.13E-115
Cfap57,1.954143094,1.08E-05,3.85E-05
Kcnj5,1.952899332,1.12E-05,3.97E-05
Tppp3,1.952725097,9.11E-58,2.70E-56
Cyb561,1.950834389,2.18E-16,1.73E-15
Dkkl1,1.950636105,1.13E-05,3.99E-05
Trank1,1.950271797,1.21E-05,4.27E-05
Prom1,1.949763384,2.00E-22,2.11E-21
Kifc5b,1.949084398,1.44E-31,2.15E-30
Rxfp1,1.948244085,9.79E-09,4.71E-08
Parp12,1.946928516,1.66E-169,2.44E-167
Cyp4a12b,1.945253446,7.25E-07,2.93E-06
Stat1,1.943225932,7.82E-59,2.38E-57
Serpinb1b,1.94161251,3.49E-07,1.45E-06
Agrn,1.938226753,0,0
Fgf15,1.936367359,1.32E-05,4.65E-05
H2-T22,1.934990621,1.21E-92,6.59E-91
Septin4,1.933435434,8.14E-13,5.28E-12
Mlkl,1.928074712,5.05E-110,3.53E-108
Pou4f1,1.922879427,1.51E-05,5.27E-05
Syt13,1.921845354,3.27E-61,1.06E-59
Nphs2,1.921162296,1.63E-05,5.67E-05
Gm20559,1.921086108,4.63E-52,1.22E-50
AW551984,1.919853807,1.49E-127,1.33E-125
Vwa1,1.919097859,9.89E-37,1.73E-35
Crabp1,1.918700051,3.48E-306,1.56E-303
Adrb1,1.918217652,2.67E-08,1.23E-07
Fndc3c1,1.917840802,5.25E-16,4.09E-15
Prph,1.914941125,2.07E-11,1.22E-10
Zcchc12,1.914864837,4.45E-07,1.83E-06
Dna2,1.911250071,1.37E-46,3.20E-45
Inava,1.907572671,7.91E-17,6.43E-16
Mmp3,1.905307492,8.79E-101,5.36E-99
Ppil6,1.900503328,1.18E-05,4.16E-05
Rem1,1.899771455,4.31E-18,3.73E-17
Necab1,1.897625803,2.86E-11,1.67E-10
St14,1.893684399,1.63E-27,2.10E-26
Nqo1,1.89346971,9.56E-117,7.25E-115
Pcdh12,1.891771423,2.13E-05,7.32E-05
Alx3,1.887998011,9.78E-12,5.91E-11
Hrh1,1.886857799,2.48E-06,9.47E-06
Foxd2os,1.88557052,2.71E-39,5.17E-38
Rhbdl3,1.885001305,5.15E-37,9.07E-36
Ccne1,1.877116795,1.54E-205,3.02E-203
Rasd1,1.877075371,1.38E-05,4.84E-05
Adgra1,1.87462441,6.64E-08,2.96E-07
Mlxipl,1.87122358,2.10E-05,7.20E-05
Fut9,1.870382824,1.01E-05,3.59E-05
Gm41604,1.870199353,2.71E-05,9.19E-05
Ugt8a,1.867202486,1.36E-05,4.79E-05
Emcn,1.866651371,2.75E-13,1.84E-12
Adgrb3,1.862940077,2.89E-05,9.74E-05
Ifi208,1.861543532,2.69E-05,9.12E-05
Cep126,1.860232702,7.07E-38,1.28E-36
Cldn4,1.859021855,2.77E-05,9.37E-05
Palm3,1.858687799,8.99E-19,8.06E-18
Ptprb,1.858511573,1.41E-42,2.97E-41
Actn2,1.85700814,2.55E-05,8.67E-05
Rnf165,1.856627756,5.78E-12,3.56E-11
Mctp2,1.855886389,7.60E-06,2.75E-05
Orc1,1.853480286,1.32E-38,2.45E-37
Tnni1,1.853015694,2.43E-05,8.27E-05
Cyp2s1,1.852666254,1.10E-06,4.33E-06
Mybpc1,1.851989763,3.02E-05,0.000101787
LOC118567733,1.851040662,1.62E-32,2.49E-31
C2,1.848656042,9.61E-40,1.86E-38
Fbxo16,1.844034939,1.10E-07,4.82E-07
Chd7,1.840180173,1.32E-13,8.98E-13
Sel1l3,1.839983259,1.67E-05,5.81E-05
Car8,1.838818345,8.06E-10,4.21E-09
H2-Q6,1.837954268,3.38E-05,0.000113162
Myh6,1.837261099,3.37E-05,0.000113087
Cntrl,1.83530955,3.00E-144,3.28E-142
Cnksr2,1.832452226,1.11E-06,4.38E-06
Hells,1.831901628,1.98E-129,1.83E-127
Cfap47,1.829029395,4.51E-06,1.67E-05
H2-Aa,1.828903758,3.59E-05,0.000119889
Dsc2,1.827743633,3.10E-10,1.68E-09
Igdcc3,1.8260802,4.11E-05,0.000136205
Ifit1bl2,1.818689128,5.31E-08,2.39E-07
Bnip5,1.817200552,3.82E-05,0.000127316
Wt1,1.817064591,4.37E-10,2.33E-09
