Gene,log2FoldChange,pvalue,padj
Lbhd2,0.595151824,0.178469836,0.278001091
Dcp2,0.595104381,1.63E-19,1.52E-18
LOC118568381,0.595004631,0.06868244,0.1244368
Cfap99,0.594318193,0.156264242,0.249729735
Utp15,0.594297767,1.38E-13,9.38E-13
Spry2,0.594081623,1.19E-16,9.61E-16
Lsg1,0.593994273,1.24E-14,8.93E-14
Vax2os,0.593824055,0.168027059,0.2647495
Depdc1a,0.593476945,0.01066868,0.023894418
Chuk,0.593281612,1.75E-24,2.02E-23
Arel1,0.593255029,1.23E-23,1.37E-22
Gfus,0.59310452,1.72E-14,1.23E-13
Shank3,0.593032754,0.000743993,0.002050746
Gm10087,0.592963449,0.117269146,0.196151336
Scube1,0.59282332,0.000392153,0.001131795
Syk,0.592687346,2.23E-08,1.04E-07
Atp2a2,0.592546791,1.89E-59,5.84E-58
Gm51558,0.59245299,0.138889501,0.22607107
Gm39451,0.59245299,0.138889501,0.22607107
Dhrs13os,0.592428698,0.167196873,0.263786727
Meiosin,0.592295387,0.173046584,0.2713796
Uqcrq,0.592281283,7.24E-17,5.92E-16
Eva1c,0.592242416,0.01735899,0.037121562
Tubb6,0.592038332,6.33E-35,1.05E-33
Car7,0.591878035,0.133607472,0.219177709
Tmem163,0.59177097,0.084843008,0.148937335
Olfr874,0.59177097,0.084843008,0.148937335
Krt23,0.59177097,0.084843008,0.148937335
LOC118568126,0.59177097,0.084843008,0.148937335
Gins3,0.591691644,4.13E-05,0.000136698
Hmgcs1,0.591160199,1.85E-46,4.31E-45
Ppfia2,0.590486384,0.060261645,0.111369257
Gm35185,0.590464334,0.085298378,
A730043L09Rik,0.590464334,0.085298378,
Smarca5,0.590453309,1.13E-14,8.19E-14
Gm34804,0.590203228,0.006259146,0.014661261
Mansc4,0.590126215,0.143046849,0.231780184
Npc1l1,0.590126215,0.143046849,0.231780184
Tdrd12,0.589993064,0.085463421,
Mtcp1,0.589932622,0.033092527,0.066140409
4930502C15Rik,0.589460655,0.14743449,0.237769289
Syngr4,0.588956628,0.185657316,0.287125531
Gm15728,0.588854803,0.163971207,0.25959075
Wdr34,0.588208477,4.97E-11,2.85E-10
Pin1,0.588121128,3.83E-18,3.33E-17
1700018A04Rik,0.588060056,0.14131207,0.229393893
Gm40346,0.587388932,0.062909537,0.115388074
Gria2,0.587363297,0.105460522,0.179216818
Kcnc2,0.587054479,0.187350437,0.289251757
Gm52134,0.586272527,0.175924327,0.274694924
LOC118567732,0.58622858,0.177789392,0.277048783
Saxo2,0.586125204,0.089110919,0.155311057
Cpne4,0.586047173,0.086853302,
Myom3,0.585916872,0.177783381,0.277048783
6330549D23Rik,0.585815505,0.152425291,0.244609505
Calcoco2,0.585756645,0.08684738,0.15204015
Zswim7,0.585511567,0.000508566,0.001441001
Gm31850,0.585471258,0.183251059,0.284111428
Unc93a2,0.585248451,0.167277442,0.263870608
Orc6,0.585213869,7.53E-12,4.59E-11
Fmo4,0.585160243,0.189042814,0.291401917
Tm4sf4,0.585148171,0.087172754,
Neurog2,0.585148171,0.087172754,
Gm7904,0.585148171,0.087172754,
LOC118567689,0.585148171,0.087172754,
Gm4131,0.585148171,0.087172754,
D17H6S56E-5,0.585072099,2.05E-22,2.16E-21
Dmrt1,0.584881992,0.08715859,0.152511372
Gm50287,0.584881992,0.08715859,0.152511372
Mrs2,0.584880253,2.17E-16,1.72E-15
Sim2,0.584805624,2.24E-07,9.51E-07
C4b,0.584486212,2.95E-08,1.36E-07
Shld2,0.5842196,2.86E-05,9.67E-05
Npas4,0.58384099,0.00088845,0.002417784
Tyrp1,0.58378482,0.137275582,0.223955141
1700001G11Rik,0.583735971,0.150974987,0.24260553
Serpina3i,0.583698471,0.002605678,0.006535064
4930520O04Rik,0.583220793,0.04589641,0.088030968
Gm30042,0.583148783,0.188192404,0.290393198
Gpr176,0.583123743,9.28E-19,8.31E-18
Mmrn2,0.583088188,0.154151019,0.246946804
Odf2l,0.58306973,1.92E-09,9.76E-09
Lhfpl3,0.582955706,0.186242132,0.287845054
Nudt1,0.582790691,7.98E-05,0.000253973
Syt14,0.582779399,0.006107583,0.014339382
Sema5a,0.582611964,2.87E-18,2.51E-17
Foxo6,0.582610514,0.095303062,0.164304152
Slc7a7,0.582512287,0.001420638,0.003738735
Ddx27,0.582404177,5.68E-23,6.16E-22
Atr,0.582120847,5.48E-11,3.14E-10
Xrra1,0.582098502,0.134754058,0.220701455
Itln1,0.581814014,0.188638072,0.290941029
Arhgap27,0.581479496,0.002787241,0.006954201
Gm36591,0.581477823,0.15147155,0.243301966
Gm13889,0.581402455,0.068094407,0.123603223
A930001C03Rik,0.581348226,0.105139939,0.178782455
1700025G04Rik,0.581203131,2.43E-10,1.32E-09
Gm32994,0.58112927,0.13724749,0.223947251
Get3,0.581033829,2.92E-23,3.22E-22
Pard6g,0.580968623,1.35E-17,1.14E-16
Gm5105,0.580769453,0.119736557,0.199861879
Hoxc5,0.580403086,0.000133924,0.000411758
Polh,0.580206025,9.38E-12,5.68E-11
Trim24,0.579993941,8.22E-21,8.04E-20
Stxbp5l,0.579704224,0.089019249,
Cd6,0.579704224,0.089019249,
Gm48957,0.579568913,0.193130137,0.296681288
Ift122,0.579464358,3.03E-17,2.52E-16
Gm32287,0.579156029,0.121883986,0.202796
Dnmt3l,0.579119792,0.193705796,0.297423258
Gm34298,0.579004545,0.051293667,0.097030227
Gm12338,0.57898057,0.187301708,0.289231539
Sema7a,0.578942025,0.000143765,0.000440537
Ly6g5b,0.578840949,0.175107126,0.273732804
Eogt,0.578678499,4.18E-16,3.27E-15
Thumpd3,0.578609388,1.25E-11,7.47E-11
Mc1r,0.578266986,0.089540817,
Cep112it,0.578266986,0.089540817,
Fam222a,0.577890688,0.144164818,0.233356046
Pomc,0.577696272,0.164018258,0.259622556
Iho1,0.577618969,0.183287331,0.284121918
Tfpi,0.577430398,9.65E-19,8.64E-18
Gm17057,0.577394665,0.125213611,0.207457755
Ilf2,0.577051638,1.01E-24,1.18E-23
Katnip,0.576971186,3.23E-16,2.54E-15
Gm30690,0.576959827,0.090018129,
Erfl,0.576959827,0.090018129,
Tdrd6,0.576959827,0.090018129,
1110059E24Rik,0.576805627,0.156804456,0.250364535
Lmnb2,0.576753774,2.04E-13,1.37E-12
Vgf,0.576733753,0.088151482,0.153917443
Pmpca,0.576683956,6.18E-32,9.32E-31
Ccer2,0.576679753,0.128307797,0.211710064
Cdkn2aipnl,0.576551007,1.88E-08,8.82E-08
Disp3,0.576115104,0.144789974,0.234210491
Tslp,0.575948723,0.050560232,0.095766656
AU020206,0.575831243,0.00103861,0.00279483
Gm39529,0.575434234,0.193931566,0.297660711
Btbd19,0.575348593,5.92E-12,3.64E-11
Igfn1,0.575014254,0.121799867,0.202699613
Btg2,0.574536322,6.83E-32,1.03E-30
Pgam5,0.574496357,5.29E-19,4.81E-18
M6pr,0.574470992,1.55E-30,2.22E-29
Sgip1,0.574228514,0.031403929,0.063165354
Prl8a9,0.574221357,0.12242649,0.20354038
Cyria,0.573814818,4.19E-05,0.00013848
Clic1,0.573738928,1.85E-47,4.44E-46
Gm31953,0.573447976,0.129598972,0.213602619
Snrpa1,0.573423588,1.93E-14,1.37E-13
Chrm2,0.573291193,0.196106581,0.300391048
Armc9,0.572747206,6.41E-10,3.38E-09
LOC118568724,0.572658239,0.13002234,0.214172105
Zfand2a,0.572570657,2.00E-21,2.02E-20
Znfx1,0.572536323,9.55E-20,8.96E-19
Shisal2b,0.572512611,0.173963045,0.272408674
Pigf,0.572406063,0.001714446,0.004442749
Heatr4,0.571996503,0.167223195,0.263806644
Serinc5,0.571792283,3.75E-16,2.94E-15
Myef2,0.571692533,2.53E-10,1.37E-09
Carmn,0.571652419,0.000701705,0.001941129
Alg8,0.571137957,6.67E-08,2.97E-07
Zfp41,0.57109793,8.49E-08,3.75E-07
Gm34076,0.571068145,0.152254717,0.244417236
Ubap1l,0.570849761,0.123597559,0.205239299
9030607J07Rik,0.570719762,0.124208042,0.206022107
Gm32650,0.570719762,0.124208042,0.206022107
Matn1,0.570705962,0.131072759,0.215662561
Cacna1i,0.570705962,0.131072759,0.215662561
0610042G04Rik,0.570417722,0.12995301,0.214076214
Kcnh1,0.570411467,0.086825755,0.152016111
Gm31298,0.570336435,0.131271622,0.215897538
Dnmt1,0.570250197,2.21E-38,4.09E-37
LOC118568513,0.570239306,0.199732328,0.30478131
Gm46617,0.569899636,0.190735676,0.293682314
Pnp2,0.569840364,0.156502855,0.250048821
Notch4,0.56983314,0.152362586,0.244543979
Dalrd3,0.569495326,2.23E-08,1.04E-07
Asprv1,0.569295489,0.153441068,0.245993635
Taf5,0.569201867,0.000610311,0.001707434
2210010C04Rik,0.569199592,0.16565614,0.26167746
Slc35g3,0.568997998,0.184603166,0.285701734
Polr3a,0.568983498,3.37E-15,2.51E-14
Gm30085,0.568860974,0.196693295,0.30114605
Ptgds,0.568817383,0.151395971,0.243200851
Helq,0.568588782,4.61E-05,0.000151576
Gipr,0.568484514,0.167818248,0.264510323
Gm31268,0.568111972,0.093019084,0.160986209
Gm38469,0.568111972,0.093019084,0.160986209
Vax1,0.568111972,0.093019084,0.160986209
A430078I02Rik,0.567994156,0.202433311,0.308145996
Gm32856,0.567973883,0.00234021,0.005921706
Snord14c,0.567461366,0.184780706,0.285907578
Colq,0.567412793,0.110921575,0.186995677
Dhx38,0.567363841,3.03E-29,4.14E-28
Krt20,0.567202703,0.047507536,0.090876802
Gm5801,0.567194189,0.036997319,0.072855968
Gm11963,0.567088377,0.184974339,0.28618419
Gvin3,0.566949562,0.16666766,0.263016426
Rprd1b,0.566945444,7.04E-17,5.76E-16
Gm34397,0.566490981,0.092978127,0.160973188
Gm53,0.566477464,0.015129613,0.032783665
Airn,0.566448604,0.001507442,0.003949778
Tuba1b,0.565480962,7.63E-11,4.33E-10
Mtf2,0.565427923,1.46E-11,8.71E-11
Gm51903,0.56539168,0.15371244,0.246367168
Tdrd7,0.565275907,1.18E-17,1.00E-16
Gm15473,0.565222331,0.197435646,0.302018515
Mucl3,0.56509892,0.196001574,0.300277966
