Gene,log2FoldChange,pvalue,padj
LOC118567410,NA,NA,NA
Gm35467,NA,NA,NA
1700054K19Rik,-0.074302853,0.798075179,NA
Ssu2,0.104858855,0.77691559,NA
Gm38873,NA,NA,NA
LOC118567411,NA,NA,NA
Gm35649,NA,NA,NA
Gm35706,NA,NA,NA
Gm23002,NA,NA,NA
LOC108169181,NA,NA,NA
Cpne9,-0.074302853,0.798075179,NA
Cidec,NA,NA,NA
Gm52871,NA,NA,NA
Gm52872,0.256949266,0.441296507,NA
Gm46971,NA,NA,NA
Gm38874,0.295380167,0.406024164,NA
Mir7042,NA,NA,NA
Gm15083,NA,NA,NA
Gm36023,NA,NA,NA
Slc6a11,0.081877068,0.850827539,NA
Gm52916,NA,NA,NA
Gm46972,NA,NA,NA
Gm52917,NA,NA,NA
Gm38876,-0.074302853,0.798075179,NA
Gm36190,NA,NA,NA
Gm17733,NA,NA,NA
Gm38877,NA,NA,NA
Gm38878,0.062606314,0.829326413,NA
Gm36301,NA,NA,NA
Gm38879,NA,NA,NA
Gm24008,NA,NA,NA
Gm44180,0.062606314,0.829326413,NA
Mir7660,NA,NA,NA
H1f8,0.062606314,0.829326413,NA
Gm23527,NA,NA,NA
Gm38880,0.089600374,0.8041536,NA
Olfr211,NA,NA,NA
Olfr212,NA,NA,NA
Olfr213,NA,NA,NA
Olfr214,NA,NA,NA
Olfr215,NA,NA,NA
LOC115490471,NA,NA,NA
LOC115490481,NA,NA,NA
Mir7043,NA,NA,NA
Tmem72,0.062606314,0.829326413,NA
Gm36788,0.339318722,0.367751589,NA
LOC118567448,0.062606314,0.829326413,NA
Gm9946,-0.142757436,0.623043697,NA
1700030F04Rik,NA,NA,NA
Gemin6-ps,-0.374350457,0.407165135,NA
Fxyd4,0.256949266,0.441296507,NA
Mir7044,NA,NA,NA
Gm23908,0.062606314,0.829326413,NA
1700069P05Rik,NA,NA,NA
Gm30557,NA,NA,NA
Gm30498,NA,NA,NA
1700080F18Rik,NA,NA,NA
4931430N09Rik,NA,NA,NA
LOC118567449,NA,NA,NA
Cacna2d4,-0.074302853,0.798075179,NA
Gm52874,NA,NA,NA
Gm40397,NA,NA,NA
Gm30690,0.339318722,0.367751589,NA
